GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
cloud-based-video-surveillance,com.astorprotect.cloudbasedvideosurveillance.Model,RegisterForm,66,0,0,0,28,0,19,0,19,0
cloud-based-video-surveillance,com.astorprotect.cloudbasedvideosurveillance.Model,UserRole,11,12,0,0,5,6,3,3,3,3
cloud-based-video-surveillance,com.astorprotect.cloudbasedvideosurveillance.Model,AstorUser,64,56,0,0,28,17,18,6,18,6
cloud-based-video-surveillance,com.astorprotect.cloudbasedvideosurveillance.EmailConfig,MyConstants,3,0,0,0,1,0,1,0,1,0
cloud-based-video-surveillance,com.astorprotect.cloudbasedvideosurveillance.EmailConfig,MailObject,24,0,0,0,10,0,7,0,7,0
cloud-based-video-surveillance,com.astorprotect.cloudbasedvideosurveillance.EmailConfig,MailConfig,0,44,0,0,0,12,0,2,0,2
cloud-based-video-surveillance,com.astorprotect.cloudbasedvideosurveillance.configuration,SecurityConstant,3,0,0,0,1,0,1,0,1,0
cloud-based-video-surveillance,com.astorprotect.cloudbasedvideosurveillance.configuration,JWTauthorizationFilter,89,3,6,0,22,1,5,1,2,1
cloud-based-video-surveillance,com.astorprotect.cloudbasedvideosurveillance.configuration,SecurityConfig,0,85,0,0,0,14,0,3,0,3
cloud-based-video-surveillance,com.astorprotect.cloudbasedvideosurveillance.configuration,JWTauthentificationFilter,137,6,0,0,21,3,3,1,3,1
cloud-based-video-surveillance,com.astorprotect.cloudbasedvideosurveillance.Model.APIForms,ChangeAccountTypeForm,17,0,0,0,7,0,5,0,5,0
cloud-based-video-surveillance,com.astorprotect.cloudbasedvideosurveillance.RestController,UserRestController,100,3,4,0,21,1,7,1,5,1
cloud-based-video-surveillance,com.astorprotect.cloudbasedvideosurveillance.RestController,SupAdminRestControler,145,3,6,0,30,1,12,1,9,1
cloud-based-video-surveillance,com.astorprotect.cloudbasedvideosurveillance,CloudBasedVideoSurveillanceApplication,7,142,0,0,3,20,2,3,2,3
cloud-based-video-surveillance,com.astorprotect.cloudbasedvideosurveillance.Service.imp,EmailServiceImpl,73,3,0,0,24,1,3,1,3,1
cloud-based-video-surveillance,com.astorprotect.cloudbasedvideosurveillance.Service.imp,ServiceAstorUserImpl,141,45,6,0,34,10,18,4,15,4
cloud-based-video-surveillance,com.astorprotect.cloudbasedvideosurveillance.Service,ServiceUserDetails,46,3,2,0,7,1,3,1,2,1
